Project_Size,Weather_Conditions,Labor_Availability,Material_Availability,Site_Conditions,Government_Approvals,Budget_Issues,Equipment_Availability,Planned_Duration_Days,Actual_Completion_Days
Medium,Snow,Sufficient,On-time,Moderate,Pending,Yes,Available,282,316
Small,Clear,Insufficient,On-time,Bad,Approved,Yes,Available,280,303
Medium,Snow,Sufficient,Delayed,Bad,Pending,Yes,Available,190,227
Small,Clear,Sufficient,Delayed,Moderate,Approved,Yes,Available,295,332
Small,Storm,Insufficient,On-time,Bad,Pending,No,Available,360,400
Large,Clear,Sufficient,Delayed,Moderate,Approved,No,Available,356,392
Medium,Clear,Sufficient,On-time,Good,Approved,Yes,Available,232,251
Small,Clear,Insufficient,Delayed,Moderate,Pending,Yes,Available,171,219
Small,Rain,Sufficient,On-time,Moderate,Pending,Yes,Available,143,158
Small,Clear,Sufficient,Delayed,Good,Approved,Yes,Available,205,249
Small,Storm,Sufficient,Delayed,Moderate,Pending,No,Delayed,31,43
Small,Storm,Sufficient,Delayed,Good,Approved,Yes,Delayed,129,173
Large,Storm,Sufficient,Delayed,Bad,Approved,No,Available,297,319
Medium,Storm,Insufficient,On-time,Moderate,Pending,No,Delayed,140,186
Large,Snow,Sufficient,On-time,Good,Pending,No,Available,192,202
Small,Rain,Sufficient,On-time,Good,Approved,No,Delayed,351,375
Small,Clear,Sufficient,On-time,Moderate,Approved,No,Delayed,305,336
Large,Rain,Insufficient,Delayed,Moderate,Approved,Yes,Available,243,256
Medium,Storm,Insufficient,On-time,Bad,Pending,No,Available,341,385
Small,Clear,Insufficient,Delayed,Good,Pending,Yes,Available,348,377
Large,Rain,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,196,212
Medium,Clear,Sufficient,Delayed,Bad,Pending,Yes,Available,132,155
Medium,Snow,Insufficient,On-time,Bad,Approved,No,Available,304,332
Small,Rain,Sufficient,On-time,Bad,Approved,No,Available,116,152
Small,Storm,Insufficient,Delayed,Bad,Pending,Yes,Delayed,335,345
Medium,Clear,Sufficient,Delayed,Bad,Pending,Yes,Available,135,166
Large,Storm,Sufficient,Delayed,Good,Approved,No,Delayed,268,286
Small,Storm,Sufficient,Delayed,Good,Approved,No,Delayed,364,386
Medium,Rain,Sufficient,On-time,Moderate,Approved,No,Delayed,174,199
Medium,Clear,Insufficient,Delayed,Bad,Pending,No,Delayed,335,370
Small,Clear,Insufficient,Delayed,Bad,Pending,No,Available,40,62
Small,Clear,Sufficient,On-time,Moderate,Approved,Yes,Delayed,255,278
Small,Snow,Insufficient,Delayed,Bad,Approved,No,Available,120,164
Medium,Snow,Sufficient,Delayed,Good,Approved,No,Delayed,152,184
Medium,Clear,Insufficient,Delayed,Good,Pending,Yes,Delayed,213,256
Medium,Rain,Insufficient,On-time,Good,Approved,No,Delayed,104,153
Medium,Clear,Insufficient,On-time,Moderate,Approved,No,Available,147,157
Small,Rain,Insufficient,On-time,Bad,Pending,No,Delayed,63,109
Medium,Rain,Insufficient,On-time,Moderate,Approved,No,Available,361,392
Small,Storm,Sufficient,Delayed,Bad,Pending,Yes,Available,71,91
Large,Snow,Insufficient,On-time,Moderate,Pending,Yes,Available,313,334
Large,Snow,Insufficient,Delayed,Moderate,Pending,No,Available,227,261
Large,Clear,Sufficient,On-time,Bad,Approved,No,Available,137,139
Small,Rain,Insufficient,On-time,Moderate,Pending,Yes,Available,95,126
Medium,Clear,Insufficient,On-time,Bad,Pending,Yes,Delayed,344,376
Medium,Clear,Sufficient,Delayed,Bad,Pending,Yes,Available,129,165
Small,Snow,Insufficient,On-time,Bad,Pending,Yes,Available,234,269
Medium,Snow,Sufficient,Delayed,Moderate,Approved,No,Delayed,48,94
Large,Rain,Insufficient,Delayed,Bad,Approved,Yes,Available,217,233
Small,Snow,Sufficient,Delayed,Moderate,Pending,Yes,Delayed,216,258
Small,Clear,Insufficient,Delayed,Bad,Approved,Yes,Delayed,103,113
Medium,Storm,Sufficient,Delayed,Bad,Pending,No,Delayed,249,276
Small,Clear,Insufficient,Delayed,Bad,Pending,Yes,Delayed,54,86
Large,Storm,Insufficient,Delayed,Good,Pending,Yes,Available,284,296
Small,Rain,Sufficient,On-time,Moderate,Pending,Yes,Delayed,80,119
Large,Snow,Insufficient,On-time,Good,Approved,Yes,Delayed,133,160
Medium,Clear,Sufficient,Delayed,Bad,Pending,No,Delayed,262,273
Medium,Storm,Sufficient,On-time,Bad,Pending,Yes,Available,118,128
Large,Clear,Sufficient,Delayed,Bad,Pending,Yes,Available,87,115
Medium,Rain,Sufficient,Delayed,Moderate,Pending,Yes,Delayed,132,160
Medium,Clear,Insufficient,Delayed,Good,Approved,Yes,Available,62,89
Small,Rain,Insufficient,Delayed,Good,Approved,No,Delayed,38,75
Large,Rain,Sufficient,On-time,Bad,Approved,No,Available,52,67
Small,Storm,Sufficient,On-time,Good,Pending,Yes,Available,225,254
Large,Storm,Insufficient,On-time,Bad,Approved,Yes,Available,49,88
Large,Rain,Sufficient,Delayed,Bad,Approved,No,Delayed,160,189
Small,Rain,Insufficient,On-time,Good,Approved,No,Available,146,161
Small,Snow,Sufficient,Delayed,Good,Approved,No,Available,261,292
Large,Rain,Insufficient,On-time,Bad,Pending,No,Delayed,301,325
Small,Snow,Insufficient,On-time,Bad,Pending,Yes,Delayed,230,273
Small,Rain,Insufficient,Delayed,Good,Approved,No,Delayed,126,172
Small,Rain,Sufficient,Delayed,Bad,Pending,Yes,Available,33,46
Medium,Storm,Insufficient,On-time,Moderate,Approved,Yes,Available,95,118
Medium,Snow,Sufficient,On-time,Good,Pending,Yes,Delayed,218,250
Small,Clear,Sufficient,Delayed,Moderate,Pending,No,Delayed,355,369
Medium,Rain,Sufficient,On-time,Good,Pending,No,Delayed,233,276
Large,Snow,Insufficient,Delayed,Good,Pending,No,Delayed,269,287
Medium,Clear,Sufficient,On-time,Moderate,Pending,Yes,Available,241,289
Large,Storm,Sufficient,Delayed,Bad,Pending,No,Delayed,245,289
Medium,Snow,Sufficient,Delayed,Bad,Pending,Yes,Delayed,199,245
Large,Snow,Insufficient,Delayed,Moderate,Approved,No,Delayed,220,246
Small,Rain,Sufficient,On-time,Bad,Pending,No,Delayed,164,212
Large,Storm,Insufficient,On-time,Good,Approved,No,Available,60,77
Medium,Snow,Sufficient,On-time,Good,Approved,No,Available,234,249
Small,Storm,Sufficient,Delayed,Moderate,Pending,No,Delayed,119,163
Small,Snow,Sufficient,On-time,Bad,Approved,No,Available,152,182
Small,Snow,Insufficient,On-time,Moderate,Pending,No,Delayed,215,232
Medium,Snow,Insufficient,On-time,Bad,Approved,No,Available,253,289
Large,Rain,Sufficient,Delayed,Moderate,Approved,No,Available,363,412
Medium,Rain,Sufficient,Delayed,Bad,Pending,Yes,Delayed,305,320
Large,Storm,Insufficient,Delayed,Moderate,Approved,No,Available,231,270
Large,Snow,Insufficient,Delayed,Moderate,Approved,Yes,Delayed,199,238
Medium,Rain,Insufficient,On-time,Bad,Approved,No,Available,204,227
Medium,Storm,Sufficient,On-time,Moderate,Approved,Yes,Available,277,317
Large,Rain,Insufficient,On-time,Good,Pending,Yes,Available,227,245
Small,Clear,Insufficient,On-time,Bad,Pending,Yes,Delayed,55,80
Large,Storm,Sufficient,Delayed,Good,Pending,No,Delayed,170,189
Medium,Rain,Sufficient,Delayed,Good,Approved,Yes,Delayed,55,98
Medium,Clear,Insufficient,Delayed,Moderate,Pending,No,Delayed,254,295
Medium,Storm,Sufficient,On-time,Bad,Pending,Yes,Available,310,332
Large,Snow,Sufficient,On-time,Good,Approved,No,Delayed,248,291
Medium,Clear,Sufficient,On-time,Good,Approved,No,Available,142,147
Small,Snow,Insufficient,On-time,Good,Pending,No,Available,181,207
Large,Snow,Sufficient,On-time,Bad,Approved,No,Delayed,215,257
Small,Clear,Sufficient,On-time,Moderate,Pending,No,Available,238,252
Small,Clear,Sufficient,On-time,Bad,Approved,Yes,Delayed,157,176
Small,Storm,Insufficient,On-time,Bad,Pending,No,Delayed,360,373
Large,Rain,Sufficient,On-time,Moderate,Pending,Yes,Delayed,94,106
Large,Storm,Sufficient,On-time,Moderate,Approved,Yes,Available,45,55
Small,Snow,Sufficient,Delayed,Good,Approved,No,Available,351,393
Large,Snow,Sufficient,Delayed,Bad,Pending,No,Delayed,266,276
Medium,Rain,Sufficient,On-time,Good,Pending,Yes,Available,275,311
Large,Snow,Insufficient,Delayed,Bad,Approved,No,Delayed,135,158
Large,Storm,Sufficient,Delayed,Bad,Approved,No,Delayed,154,171
Medium,Clear,Insufficient,Delayed,Bad,Pending,Yes,Delayed,259,294
Small,Snow,Insufficient,Delayed,Moderate,Pending,No,Available,204,233
Medium,Snow,Insufficient,Delayed,Moderate,Approved,Yes,Available,66,78
Large,Clear,Sufficient,Delayed,Bad,Approved,No,Delayed,316,349
Large,Rain,Insufficient,On-time,Moderate,Pending,No,Available,176,199
Medium,Snow,Insufficient,On-time,Bad,Approved,No,Available,310,330
Medium,Clear,Sufficient,Delayed,Moderate,Pending,Yes,Delayed,343,363
Medium,Clear,Sufficient,Delayed,Bad,Approved,Yes,Delayed,196,225
Large,Storm,Insufficient,On-time,Bad,Approved,Yes,Delayed,214,259
Medium,Snow,Insufficient,On-time,Bad,Pending,No,Delayed,101,137
Large,Snow,Sufficient,Delayed,Bad,Approved,Yes,Delayed,109,134
Small,Clear,Insufficient,On-time,Moderate,Approved,Yes,Delayed,359,404
Large,Storm,Sufficient,Delayed,Bad,Pending,No,Available,338,373
Medium,Rain,Insufficient,On-time,Moderate,Pending,Yes,Available,313,350
Large,Rain,Sufficient,Delayed,Bad,Approved,No,Available,97,123
Medium,Storm,Insufficient,Delayed,Bad,Approved,No,Delayed,182,228
Small,Rain,Sufficient,Delayed,Bad,Pending,Yes,Delayed,106,143
Small,Rain,Insufficient,On-time,Bad,Pending,No,Available,216,243
Small,Snow,Insufficient,Delayed,Good,Pending,No,Delayed,192,225
Medium,Rain,Sufficient,On-time,Moderate,Approved,No,Available,352,390
Large,Clear,Sufficient,On-time,Bad,Pending,No,Delayed,66,101
Small,Rain,Sufficient,Delayed,Moderate,Pending,Yes,Delayed,188,234
Large,Snow,Insufficient,On-time,Bad,Approved,Yes,Available,328,357
Large,Rain,Sufficient,Delayed,Good,Pending,Yes,Delayed,110,158
Small,Storm,Insufficient,On-time,Bad,Approved,Yes,Delayed,254,279
Large,Clear,Sufficient,Delayed,Bad,Pending,Yes,Available,67,85
Large,Rain,Insufficient,On-time,Good,Approved,No,Available,337,358
Small,Storm,Sufficient,Delayed,Bad,Pending,No,Available,213,230
Medium,Snow,Insufficient,On-time,Moderate,Pending,No,Delayed,136,154
Small,Snow,Sufficient,On-time,Bad,Pending,Yes,Delayed,77,107
Small,Clear,Sufficient,Delayed,Bad,Approved,No,Available,293,324
Large,Snow,Insufficient,On-time,Bad,Approved,Yes,Available,207,251
Small,Snow,Sufficient,Delayed,Good,Pending,No,Available,111,153
Small,Storm,Insufficient,On-time,Bad,Pending,No,Available,250,286
Medium,Snow,Sufficient,Delayed,Good,Pending,Yes,Available,223,271
Small,Snow,Sufficient,On-time,Good,Pending,Yes,Delayed,336,354
Large,Storm,Insufficient,On-time,Bad,Approved,No,Available,178,195
Small,Snow,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,251,297
Medium,Clear,Sufficient,On-time,Good,Pending,No,Delayed,312,337
Large,Storm,Sufficient,On-time,Bad,Pending,No,Delayed,83,124
Medium,Rain,Insufficient,Delayed,Moderate,Approved,No,Available,147,196
Large,Storm,Insufficient,On-time,Bad,Approved,Yes,Delayed,131,144
Large,Rain,Insufficient,Delayed,Good,Pending,Yes,Delayed,356,399
Medium,Snow,Sufficient,On-time,Good,Pending,Yes,Available,259,293
Small,Clear,Sufficient,Delayed,Moderate,Pending,No,Available,223,245
Large,Snow,Insufficient,On-time,Moderate,Approved,Yes,Available,339,371
Large,Storm,Insufficient,Delayed,Good,Approved,No,Delayed,266,299
Small,Clear,Sufficient,On-time,Moderate,Pending,No,Available,216,252
Large,Rain,Sufficient,On-time,Bad,Pending,No,Delayed,73,89
Large,Clear,Sufficient,On-time,Bad,Pending,Yes,Available,313,338
Medium,Rain,Sufficient,On-time,Good,Approved,Yes,Available,32,53
Large,Storm,Sufficient,On-time,Good,Approved,No,Delayed,136,159
Small,Rain,Insufficient,On-time,Good,Pending,No,Available,232,248
Small,Clear,Insufficient,Delayed,Bad,Pending,Yes,Available,344,361
Medium,Rain,Insufficient,On-time,Bad,Approved,No,Available,60,86
Small,Storm,Sufficient,On-time,Moderate,Approved,No,Available,303,320
Small,Storm,Insufficient,Delayed,Moderate,Pending,Yes,Available,242,277
Large,Rain,Insufficient,Delayed,Moderate,Pending,No,Delayed,313,356
Medium,Storm,Sufficient,On-time,Moderate,Pending,No,Available,160,192
Small,Snow,Insufficient,On-time,Good,Approved,No,Available,335,373
Medium,Storm,Sufficient,Delayed,Good,Approved,No,Available,340,372
Medium,Rain,Insufficient,Delayed,Good,Approved,Yes,Available,243,269
Large,Snow,Insufficient,On-time,Good,Pending,No,Available,47,80
Small,Rain,Sufficient,Delayed,Moderate,Pending,Yes,Available,283,319
Large,Storm,Insufficient,Delayed,Good,Pending,Yes,Delayed,200,213
Medium,Rain,Sufficient,On-time,Good,Pending,Yes,Available,217,244
Small,Clear,Sufficient,On-time,Good,Pending,No,Delayed,174,192
Small,Rain,Insufficient,On-time,Good,Pending,No,Delayed,103,126
Large,Rain,Insufficient,On-time,Bad,Pending,Yes,Available,297,326
Medium,Clear,Insufficient,On-time,Moderate,Pending,No,Available,120,139
Small,Storm,Sufficient,Delayed,Moderate,Pending,No,Available,55,83
Small,Clear,Sufficient,Delayed,Bad,Approved,Yes,Available,250,270
Large,Rain,Sufficient,On-time,Good,Approved,No,Delayed,72,118
Small,Snow,Sufficient,Delayed,Bad,Pending,No,Available,54,99
Medium,Rain,Sufficient,On-time,Moderate,Pending,No,Available,93,141
Medium,Snow,Insufficient,Delayed,Moderate,Approved,No,Available,128,177
Large,Clear,Sufficient,On-time,Moderate,Pending,No,Delayed,364,397
Large,Storm,Sufficient,Delayed,Good,Approved,Yes,Delayed,237,285
Small,Clear,Insufficient,Delayed,Bad,Approved,No,Delayed,254,300
Medium,Snow,Sufficient,On-time,Good,Pending,No,Available,335,383
Large,Clear,Insufficient,Delayed,Moderate,Approved,No,Available,166,214
Large,Clear,Insufficient,Delayed,Moderate,Pending,No,Delayed,163,200
Large,Snow,Sufficient,On-time,Good,Approved,No,Available,106,152
Large,Rain,Insufficient,Delayed,Good,Approved,No,Available,152,185
Small,Rain,Insufficient,On-time,Bad,Pending,Yes,Available,241,284
Large,Rain,Sufficient,Delayed,Moderate,Approved,Yes,Delayed,344,383
Medium,Snow,Sufficient,Delayed,Moderate,Pending,No,Available,45,65
Medium,Clear,Insufficient,Delayed,Bad,Approved,No,Available,206,235
Medium,Rain,Insufficient,Delayed,Moderate,Pending,No,Available,334,348
Medium,Clear,Insufficient,On-time,Good,Pending,No,Delayed,135,177
Medium,Snow,Sufficient,Delayed,Bad,Pending,Yes,Available,130,167
Large,Rain,Sufficient,On-time,Good,Pending,No,Available,76,86
Large,Rain,Sufficient,Delayed,Bad,Pending,Yes,Delayed,94,136
Medium,Storm,Sufficient,Delayed,Good,Pending,Yes,Available,309,336
Large,Rain,Insufficient,Delayed,Good,Approved,Yes,Delayed,177,218
Large,Storm,Insufficient,On-time,Good,Pending,No,Available,311,345
Small,Rain,Sufficient,On-time,Bad,Pending,Yes,Available,240,289
Large,Storm,Insufficient,Delayed,Moderate,Pending,No,Delayed,263,293
Medium,Rain,Sufficient,On-time,Good,Pending,No,Delayed,91,130
Small,Clear,Sufficient,Delayed,Moderate,Pending,No,Available,141,186
Medium,Snow,Sufficient,On-time,Good,Pending,No,Available,102,117
Small,Rain,Insufficient,Delayed,Moderate,Pending,Yes,Available,229,249
Medium,Snow,Sufficient,On-time,Bad,Pending,No,Delayed,117,127
Large,Rain,Insufficient,On-time,Bad,Approved,Yes,Available,160,174
Small,Clear,Sufficient,On-time,Moderate,Approved,No,Available,103,98
Medium,Clear,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,124,172
Large,Clear,Sufficient,On-time,Bad,Approved,Yes,Available,200,210
Small,Storm,Insufficient,On-time,Moderate,Pending,Yes,Delayed,236,258
Small,Clear,Insufficient,Delayed,Good,Pending,Yes,Delayed,352,384
Medium,Rain,Insufficient,Delayed,Good,Approved,Yes,Available,58,87
Medium,Storm,Insufficient,On-time,Moderate,Approved,Yes,Delayed,163,201
Small,Snow,Insufficient,Delayed,Moderate,Approved,Yes,Delayed,157,199
Medium,Rain,Insufficient,Delayed,Bad,Approved,No,Available,100,133
Small,Clear,Sufficient,Delayed,Bad,Pending,No,Delayed,57,92
Medium,Snow,Sufficient,On-time,Moderate,Pending,Yes,Delayed,260,271
Large,Rain,Insufficient,Delayed,Good,Approved,Yes,Available,296,317
Small,Rain,Insufficient,Delayed,Bad,Pending,No,Available,167,202
Large,Storm,Sufficient,On-time,Moderate,Pending,No,Available,195,209
Medium,Rain,Sufficient,On-time,Bad,Pending,Yes,Delayed,90,129
Medium,Clear,Sufficient,Delayed,Good,Approved,Yes,Delayed,135,156
Small,Storm,Insufficient,Delayed,Good,Pending,No,Available,344,368
Medium,Rain,Insufficient,Delayed,Bad,Approved,Yes,Available,256,296
Medium,Storm,Sufficient,Delayed,Bad,Pending,Yes,Delayed,232,277
Small,Snow,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,78,118
Medium,Storm,Sufficient,Delayed,Moderate,Pending,No,Delayed,219,243
Small,Snow,Sufficient,On-time,Moderate,Pending,No,Delayed,278,319
Large,Snow,Sufficient,On-time,Good,Pending,No,Available,165,194
Small,Storm,Sufficient,On-time,Bad,Pending,No,Available,182,194
Large,Clear,Insufficient,Delayed,Good,Approved,Yes,Delayed,296,308
Small,Clear,Sufficient,Delayed,Moderate,Approved,No,Delayed,96,139
Large,Rain,Sufficient,On-time,Good,Approved,No,Available,318,341
Large,Snow,Insufficient,Delayed,Bad,Approved,No,Delayed,199,243
Large,Rain,Insufficient,On-time,Bad,Approved,Yes,Delayed,352,365
Medium,Clear,Insufficient,On-time,Moderate,Approved,Yes,Delayed,53,65
Medium,Rain,Sufficient,Delayed,Bad,Approved,No,Available,208,220
Large,Clear,Sufficient,Delayed,Moderate,Approved,Yes,Available,51,61
Large,Clear,Insufficient,On-time,Good,Approved,No,Delayed,282,311
Medium,Clear,Insufficient,On-time,Bad,Pending,No,Available,65,111
Large,Rain,Sufficient,On-time,Bad,Pending,Yes,Available,337,380
Large,Storm,Sufficient,On-time,Bad,Pending,No,Delayed,214,256
Medium,Snow,Insufficient,On-time,Moderate,Pending,Yes,Available,290,328
Medium,Clear,Sufficient,On-time,Moderate,Pending,No,Available,271,299
Medium,Clear,Sufficient,Delayed,Bad,Approved,No,Delayed,114,141
Large,Snow,Sufficient,On-time,Bad,Approved,Yes,Delayed,74,112
Large,Storm,Sufficient,Delayed,Bad,Approved,No,Delayed,259,277
Medium,Storm,Sufficient,Delayed,Good,Approved,Yes,Delayed,86,135
Small,Storm,Sufficient,Delayed,Moderate,Pending,No,Delayed,300,334
Large,Snow,Insufficient,Delayed,Good,Pending,No,Delayed,136,163
Large,Rain,Sufficient,On-time,Good,Approved,Yes,Available,234,259
Medium,Storm,Insufficient,On-time,Good,Pending,Yes,Available,357,389
Large,Storm,Insufficient,Delayed,Moderate,Approved,No,Delayed,206,243
Large,Rain,Sufficient,Delayed,Good,Pending,Yes,Delayed,83,114
Medium,Rain,Sufficient,On-time,Moderate,Approved,No,Available,264,300
Small,Clear,Sufficient,On-time,Bad,Approved,Yes,Available,130,140
Small,Rain,Insufficient,Delayed,Good,Approved,No,Available,107,143
Small,Storm,Insufficient,On-time,Good,Approved,Yes,Available,187,236
Large,Storm,Sufficient,On-time,Moderate,Pending,No,Delayed,188,210
Small,Snow,Insufficient,On-time,Moderate,Pending,No,Available,290,330
Large,Clear,Insufficient,On-time,Bad,Approved,No,Available,171,188
Medium,Clear,Sufficient,Delayed,Good,Approved,No,Delayed,267,300
Small,Clear,Sufficient,Delayed,Bad,Pending,Yes,Available,79,126
Large,Snow,Sufficient,Delayed,Bad,Approved,No,Delayed,98,131
Large,Rain,Insufficient,Delayed,Good,Approved,Yes,Delayed,66,105
Large,Clear,Sufficient,On-time,Bad,Approved,Yes,Available,332,343
Large,Snow,Sufficient,On-time,Bad,Pending,No,Available,63,89
Small,Clear,Sufficient,Delayed,Bad,Pending,No,Delayed,227,257
Medium,Snow,Sufficient,Delayed,Moderate,Pending,No,Delayed,133,155
Small,Clear,Sufficient,Delayed,Good,Approved,Yes,Delayed,320,347
Small,Snow,Sufficient,On-time,Good,Approved,No,Delayed,144,154
Large,Storm,Sufficient,On-time,Moderate,Pending,Yes,Available,208,234
Medium,Storm,Insufficient,On-time,Good,Pending,No,Delayed,239,261
Medium,Storm,Sufficient,On-time,Good,Approved,No,Available,281,304
Small,Snow,Insufficient,On-time,Moderate,Approved,No,Delayed,300,329
Small,Rain,Sufficient,Delayed,Bad,Pending,No,Available,140,187
Large,Snow,Sufficient,On-time,Bad,Pending,No,Available,330,375
Medium,Rain,Sufficient,Delayed,Moderate,Pending,Yes,Delayed,210,244
Small,Clear,Insufficient,Delayed,Good,Approved,No,Available,218,266
Large,Clear,Insufficient,On-time,Moderate,Approved,Yes,Available,279,289
Large,Snow,Sufficient,Delayed,Bad,Approved,Yes,Delayed,263,311
Large,Storm,Sufficient,On-time,Good,Approved,No,Available,322,336
Medium,Storm,Insufficient,On-time,Good,Pending,Yes,Delayed,80,91
Medium,Snow,Insufficient,On-time,Bad,Pending,No,Available,344,364
Medium,Storm,Insufficient,Delayed,Bad,Approved,No,Available,72,98
Small,Rain,Insufficient,On-time,Bad,Pending,No,Delayed,170,185
Small,Snow,Sufficient,Delayed,Bad,Pending,Yes,Delayed,33,53
Small,Rain,Sufficient,Delayed,Moderate,Pending,Yes,Available,174,188
Large,Storm,Insufficient,On-time,Good,Pending,Yes,Delayed,39,61
Medium,Storm,Sufficient,Delayed,Moderate,Pending,No,Delayed,211,238
Small,Storm,Insufficient,Delayed,Bad,Approved,Yes,Available,77,104
Medium,Snow,Sufficient,On-time,Good,Approved,No,Available,42,82
Small,Rain,Insufficient,On-time,Moderate,Approved,No,Delayed,162,193
Large,Snow,Insufficient,On-time,Moderate,Approved,No,Available,355,373
Medium,Storm,Insufficient,On-time,Good,Pending,Yes,Delayed,249,267
Small,Clear,Insufficient,Delayed,Bad,Approved,Yes,Delayed,191,225
Large,Rain,Insufficient,On-time,Moderate,Approved,No,Delayed,150,187
